"X","y"
"Онкология, диабет и инфаркт не являются противопоказанием против вакцинации от COVID-19 - глава екатеринбургского НИИ ""Вектор"". Онкология, диабет и инфаркт не являются противопоказанием против вакцинации от COVID-19 - глава екатеринбургского НИИ ""Вектор""","Вакцина НИИ ""Вектор"""
"Производство ""ЭпиВакКороны"" с апреля масштабируется до 5 млн доз в месяц - глава Екатеринбургского НИИ ""Вектор"". Производство ""ЭпиВакКороны"" с апреля масштабируется до 5 млн доз в месяц - глава Екатеринбургского НИИ ""Вектор""","Вакцина НИИ ""Вектор"""
"Президент Молдавии 26 марта проведет с депутатами консультации по досрочным парламентским выборам. Президент Молдавии 26 марта проведет с депутатами консультации по досрочным парламентским выборам","Политический кризис в Молдавии"
"Кандидат в премьеры Молдавии Гросу заявил о появлении юридических оснований для роспуска парламента. Кандидат в премьеры Молдавии Гросу заявил о появлении юридических оснований для роспуска парламента","Политический кризис в Молдавии"
"Парламент Молдавии не собрал кворум для утверждения нового правительства. Парламент Молдавии не собрал кворум для утверждения нового правительства","Политический кризис в Молдавии"
"Партия социалистов Молдавии отказалась участвовать в заседании парламента по утверждению правительства. Партия социалистов Молдавии отказалась участвовать в заседании парламента по утверждению правительства","Политический кризис в Молдавии"
"SpaceX вывела на орбиту 60 интернет-спутников Starlink, довела группировку до 1383 аппаратов. SpaceX вывела на орбиту 60 интернет-спутников Starlink, довела группировку до 1383 аппаратов","Запуск спутников SpaceX"
"SpaceX вывела на орбиту новую группу интернет-спутников Starlink, довела группировку до 1383 аппаратов. SpaceX вывела на орбиту новую группу интернет-спутников Starlink, довела группировку до 1383 аппаратов","Запуск спутников SpaceX"
"Многоразовая ступень Falcon 9 совершила успешную посадку на платформу в Атлантике. Многоразовая ступень Falcon 9 совершила успешную посадку на платформу в Атлантике","Запуск спутников SpaceX"
"Ракета SpaceX стартовала на орбиту с новой группой из 60 интернет-спутников Starlink. Ракета SpaceX стартовала на орбиту с новой группой из 60 интернет-спутников Starlink","Запуск спутников SpaceX"
"SpaceX планирует в среду запустить на орбиту новую группу из 60 спутников. SpaceX планирует в среду запустить на орбиту новую группу из 60 спутников","Запуск спутников SpaceX"
"Значения основных фондовых индексов стран Америки на открытие 24 марта. 
24.03.2021
Наименование	Значение	Предыдущ.	Макс. за	Мин. за	Изм. к пред
индекса	открытия	закрытие	52 недели	52 недели	закрытию, %
AMEX Composite	2670.04	2670.04	2860.55	1336.38	0.0000
Brazil Bovespa Stock	113272.10	113261.80	125076.60	63569.60	0.0001
Dow Jones Industrial	32470.88	32423.15	33015.37	18591.93	0.0015
IBC Index	2660.15	2660.15	2702130.00	2660.15	0.0000
Mexico Bolsa	-	46659.18	48203.95	32964.22	-
NASDAQ Composite	13289.24	13227.70	14095.47	6860.67	0.0047
NYSE Composite	-	15346.53	15775.50	8777.38	-
Russell 3000	-	2347.98	2400.90	1288.04	-
S&P 500 Index	-	3910.52	3974.12	2237.40	-
TSE Composite	-	18669.80	18983.10	11228.49	-
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Значения основных фондовых индексов стран АТР на закрытие 24 марта. 
24.03.2021
Наименование	Значение	Изменение к	Изменение к	Объем
индекса	закрытия	пред., пунктов	пред., %	торгов
AS30	7013.85	27.25	0.39	-
Hang Seng Stock	27918.14	-579.24	-2.03	-
BSE 30	49180.31	-871.13	-1.74	-
Jakarta Composite	6156.14	-96.57	-1.54	-
Nikkei 225	28405.52	-590.40	-2.04	-
Kuala Lumpur Composite	1602.40	7.11	0.45	-
PSE Composite	6497.01	50.66	0.79	-
Sing Straits Times Index	3133.31	1.57	0.05	-
SET50	961.59	3.86	0.40	-
Korea Composite	2996.35	-8.39	-0.28	-
Shanghai Composite	3367.06	-44.45	-1.30	-
CSI 300 China	4928.69	-80.56	-1.61	-
AS25	5590.20	32.20	0.58	-
АТР - Азиатско-тихоокеанский регион
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Значения основных фондовых индексов стран АТР на 10 часов 24 марта. 
10:00:02	24.03.2021
Наименование	Значение	Изменение к	Изменение к	Объем
индекса	закрытия	пред., пунктов	пред., %	торгов
AS30	7013.85	27.25	0.39	-
Hang Seng Stock	27875.47	-621.91	-2.18	-
BSE 30	49426.65	-624.79	-1.25	-
Jakarta Composite	6168.99	-83.72	-1.34	-
Nikkei 225	28405.52	-590.40	-2.04	-
Kuala Lumpur Composite	1599.34	4.05	0.25	-
PSE Composite	6497.01	50.66	0.79	-
Sing Straits Times Index	3123.49	-8.25	-0.26	-
SET50	956.01	-1.72	-0.18	-
Korea Composite	2996.35	-8.39	-0.28	-
Shanghai Composite	3362.85	-48.66	-1.43	-
CSI 300 China	4920.42	-88.83	-1.77	-
AS25	5590.20	32.20	0.58	-
АТР - Азиатско-тихоокеанский регион
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Значения основных фондовых индексов стран Европы на закрытие 23 марта. 
23.03.2021
Наименование	Значение	Изменение к	Изменение к	Объем
индекса	закрытия	пред., пунктов	пред., %	торгов
AEX General	681.74	-2.47	-0.36	116222521
ATX Index	3101.22	-8.50	-0.27	4430117
Austrian Vienna Stock	1242.72	-3.95	-0.32	5089077
BEL20	3880.73	-17.43	-0.45	6864411
Bloomberg Europe 500	280.54	-0.42	-0.15	1962828029
BUX	43603.02	-248.94	-0.57	2762435
CAC 40	5945.30	-23.18	-0.39	73795502
DAX Index (XETRA)	14662.02	4.81	0.03	73296413
DJ Stoxx 50	3276.26	-6.77	-0.21	414319150
FTSE 100	6699.19	-26.91	-0.40	790043562
FTSEMIB	24113.86	-148.98	-0.61	465351117
Madrid General	838.48	4.13	0.49	473335531
OMX20	1437.35	-13.06	-0.90	12357420
Prague Exchange	1088.84	4.19	0.39	1543152
Swiss Market	11098.66	50.08	0.45	45281947
Turkey ISE 100	1377.43	-1.82	-0.13	5739708935
WIG	57695.05	-94.23	-0.16	43340577
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
"Значения основных фондовых индексов стран Америки на закрытие 23 марта. 
23.03.2021
Наименование	Значение	Изменение к	Изменение к	Объем
индекса	закрытия	пред., пунктов	пред., %	торгов
AMEX Composite	2670.04	-66.44	-2.43	18999298
Argentina Merval	48615.26	-570.61	-1.16	6044330
Brazil Bovespa Stock	113261.80	-1717.10	-1.49	830148400
Dow Jones Industrial	32423.15	-308.05	-0.94	101723665
IBC Index	2660.15	-1.03	-0.04	191297
Mexico Bolsa	46659.18	-566.27	-1.20	161796841
NASDAQ Composite	13227.70	-149.84	-1.12	1184821573
NYSE Composite	15346.53	-205.05	-1.32	985862503
Russell 3000	2347.98	-25.43	-1.07	1393060877
S&P 500 Index	3910.52	-30.07	-0.76	665226900
TSE Composite	18669.80	-145.33	-0.77	252128263
По данным информационного агентства Bloomberg.
AGN#$&: BLOOMBERG","Значения фондовых индексов"
